ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
ATL,LAS,48
JFK,MCO,163
SLC,ORD,251
SEA,PHX,171
SJU,ATL,217
DFW,LAX,61
ORD,SLC,128
DTW,ATL,129
BDL,DTW,116
BNA,DTW,144
ATL,SFO,114
LAX,BNA,360
SFO,SLC,164
SLC,SFO,77
DEN,LGA,462
ORD,LGA,191
CLE,DTW,36
BOS,ATL,162
SFO,LAX,92
LGA,ATL,191
ATL,SJU,215
MCO,RDU,111
RDU,MCO,97
MSP,CLE,163
LGA,RSW,191
EWR,ATL,134
ATL,MCO,75
DTW,BWI,80
SEA,MSP,319
MSP,SEA,110
SLC,AUS,214
MSP,SFO,135
DTW,CLT,112
MSP,PHL,220
SLC,BOI,73
SLC,SFO,61
MSP,DFW,139
SLC,PHX,39
SLC,SEA,73
DTW,MSP,35
SLC,MCI,198
DTW,ORD,10
SLC,LAS,14
LAX,MSY,343
MSP,PHX,53
MSP,RDU,203
ATL,SAN,68
MSP,ATL,216
MSP,ATL,214
MSP,LGA,299
SLC,LAX,45
CVG,ATL,100
MSP,LAS,59
DCA,ATL,123
MCO,DTW,145
LAX,DFW,299
SEA,SFO,137
LGA,DTW,171
CVG,TPA,131
TPA,CVG,127
IND,MSP,33
CHS,ATL,69
EWR,ATL,136
MHT,ATL,172
CLE,SLC,105
LGA,DTW,117
LGA,MSY,159
LGA,BOS,178
MCI,MSP,73
MSP,MCI,83
ATL,CLT,62
EWR,ATL,144
CHS,ATL,60
JAX,ATL,76
PHL,DTW,90
PDX,LAX,164
LGA,BOS,64
SEA,SLC,175
BNA,LAX,119
BOS,LGA,71
TPA,JFK,150
DTW,SFO,153
JFK,LAX,158
LAX,AUS,303
BOS,DTW,112
PVD,DTW,115
ATL,CHS,59
CHS,ATL,76
MSP,SLC,106
TPA,LGA,172
SAT,ATL,194
LAS,JFK,474
JAC,MSP,183
DTW,MKE,10
MKE,DTW,127
ORD,ATL,195
MSP,BDL,221
CVG,DTW,59
ATL,CAE,68
CAE,ATL,69
ATL,RSW,87
RSW,ATL,97
LAX,SFO,76
SFO,MSP,323
EWR,ATL,140
MSP,BOS,232
BOS,MSP,135
MSP,LAS,66
ATL,ORD,46
LAX,PDX,124
ABQ,ATL,300
ATL,ABQ,58
CLT,ATL,67
PHX,DTW,413
LAS,SEA,160
DEN,LAX,88
ATL,PDX,113
SLC,LAX,46
SLC,DCA,361
DTW,SAN,89
MSY,LAX,113
LAX,SFO,73
DCA,ATL,104
ATL,JFK,129
ATL,PBI,108
PBI,ATL,110
PDX,SLC,164
MSY,ATL,166
GRR,MSP,17
ELP,ATL,309
RSW,LGA,167
LGA,MSP,204
LAX,ATL,446
DTW,SAN,81
ATL,JAX,66
JAX,ATL,65
JAC,ATL,333
DTW,LGA,113
BOS,DTW,125
MSP,BOI,122
MSP,STL,92
STL,MSP,101
LGA,FLL,181
